Code zone (M49);Zone;Code Élément;Élément;Produit;Année;Unité;Valeur;Symbole;Description du Symbole
332;Haïti;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;8521;I;Valeur imputée
340;Honduras;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;192593;E;Valeur estimée
348;Hongrie;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;341107;A;Chiffre officiel
184;Îles Cook;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;19;I;Valeur imputée
90;Îles Salomon;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;284;I;Valeur imputée
356;Inde;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;3766940;A;Chiffre officiel
360;Indonésie;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;3175853;A;Chiffre officiel
364;Iran (République islamique d');5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;2237000;A;Chiffre officiel
368;Iraq;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;96000;A;Chiffre officiel
372;Irlande;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;128170;A;Chiffre officiel
352;Islande;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;9697;A;Chiffre officiel
376;Israël;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;538066;A;Chiffre officiel
380;Italie;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;1006677;A;Chiffre officiel
388;Jamaïque;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;128290;A;Chiffre officiel
392;Japon;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;2214899;A;Chiffre officiel
400;Jordanie;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;217625;I;Valeur imputée
398;Kazakhstan;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;170729;A;Chiffre officiel
404;Kenya;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;106473;A;Chiffre officiel
417;Kirghizistan;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;7639;A;Chiffre officiel
296;Kiribati;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;888;I;Valeur imputée
414;Koweït;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;55755;A;Chiffre officiel
426;Lesotho;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;1920;I;Valeur imputée
428;Lettonie;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;33393;A;Chiffre officiel
422;Liban;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;131136;A;Chiffre officiel
430;Libéria;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;12859;I;Valeur imputée
434;Libye;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;120100;I;Valeur imputée
440;Lituanie;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;126607;A;Chiffre officiel
442;Luxembourg;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;270;A;Chiffre officiel
807;Macédoine du Nord;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;1716;A;Chiffre officiel
450;Madagascar;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;49103;I;Valeur imputée
458;Malaisie;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;1598258;A;Chiffre officiel
454;Malawi;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;130114;A;Chiffre officiel
466;Mali;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;48000;E;Valeur estimée
470;Malte;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;3676;A;Chiffre officiel
504;Maroc;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;550000;A;Chiffre officiel
480;Maurice;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;47500;A;Chiffre officiel
478;Mauritanie;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;3914;I;Valeur imputée
484;Mexique;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;3211687;A;Chiffre officiel
583;Micronésie (États fédérés de);5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;160;I;Valeur imputée
496;Mongolie;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;220;E;Valeur estimée
499;Monténégro;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;3396;I;Valeur imputée
508;Mozambique;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;88958;A;Chiffre officiel
104;Myanmar;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;1580848;A;Chiffre officiel
516;Namibie;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;11494;I;Valeur imputée
520;Nauru;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;4;I;Valeur imputée
524;Népal;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;57268;A;Chiffre officiel
558;Nicaragua;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;142712;A;Chiffre officiel
562;Niger;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;18475;I;Valeur imputée
566;Nigéria;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;257729;I;Valeur imputée
570;Nioué;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;23;I;Valeur imputée
578;Norvège;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;90944;A;Chiffre officiel
540;Nouvelle-Calédonie;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;880;A;Chiffre officiel
554;Nouvelle-Zélande;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;220983;A;Chiffre officiel
512;Oman;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;6434;I;Valeur imputée
800;Ouganda;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;64324;I;Valeur imputée
860;Ouzbékistan;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;74800;X;Ciffre de sources internationales
586;Pakistan;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;1276000;A;Chiffre officiel
275;Palestine;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;42005;I;Valeur imputée
591;Panama;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;198136;A;Chiffre officiel
598;Papouasie-Nouvelle-Guinée;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;6444;I;Valeur imputée
600;Paraguay;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;65890;E;Valeur estimée
528;Pays-Bas (Royaume des);5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;1034319;A;Chiffre officiel
604;Pérou;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;1464548;A;Chiffre officiel
608;Philippines;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;1278082;I;Valeur imputée
616;Pologne;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;1472702;E;Valeur estimée
258;Polynésie française;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;615;I;Valeur imputée
630;Porto Rico;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;28976;I;Valeur imputée
620;Portugal;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;317918;A;Chiffre officiel
634;Qatar;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;15000;X;Ciffre de sources internationales
760;République arabe syrienne;5510;Production;Viande, poulet, fraîche ou réfrigérée;2017;tonnes;122180;A;Chiffre officiel
